Song,Artist,Weeks On Chart,Peak Rank
409,Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,6,83
410,Hold Each Other,A Great Big World Featuring FUTURISTIC,2,99
411,Alive,Sia,3,56
412,Writing's On The Wall,Sam Smith,2,71
413,Plastic Bag,Drake & Future,2,78
414,Change Locations,Drake & Future,3,82
415,Jugg,Fetty Wap Featuring Monty,6,86
416,Jersey,Future,2,87
417,Lay It All On Me,Rudimental Featuring Ed Sheeran,16,48
418,Back Up,DeJ Loaf Featuring Big Sean,18,47
419,Break Up In A Small Town,Sam Hunt,20,29
420,Stay A Little Longer,Brothers Osborne,20,46
421,I Got The Boy,Jana Kramer,16,56
422,Top Of The World,Tim McGraw,13,73
423,Love Me,The 1975,0,100
424,Perfect,One Direction,57,1
425,Cake By The Ocean,DNCE,46,9
426,Say It,Tory Lanez,24,23
427,Gonna Know We Were Here,Jason Aldean,16,54
428,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,31,6
429,Home,gnash Featuring Johnny Yukon,5,74
430,Can't Sleep Love,Pentatonix,0,99
431,Hello,Adele,26,1
432,Sorry,Rick Ross Featuring Chris Brown,42,1
433,Emperor's New Clothes,Panic! At The Disco,4,68
434,Used To Love You Sober,Kane Brown,0,82
435,Used To Love You,Gwen Stefani,9,52
436,Dibs,Kelsea Ballerini,17,58
437,I Love This Life,LOCASH,18,56
438,Exchange,Bryson Tiller,34,26
439,Focus,H.E.R.,13,7
440,Tennessee Whiskey,Chris Stapleton,6,20
441,Thriller,Michael Jackson,18,31
442,I'll Show You,Justin Bieber,12,19
443,"Me, Myself & I",G-Eazy x Bebe Rexha,37,7
444,Beautiful Drug,Zac Brown Band,20,52
445,Already Callin' You Mine,Parmalee,3,91
446,We Went,Randy Houser,13,60
447,Adventure Of A Lifetime,Coldplay,20,13
448,Do It Like Me,DLOW,15,45
449,History,One Direction,6,65
450,Traveller,Chris Stapleton,0,87
451,Halo,Jordan Smith,0,88
452,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,14,22
453,Stand By You,Rachel Platten,20,37
454,My House,Flo Rida,39,4
455,Love Yourself,Justin Bieber,41,1
456,Great Is Thy Faithfulness,Jordan Smith,0,30
457,The Feeling,Justin Bieber Featuring Halsey,7,31
458,Mark My Words,Justin Bieber,4,42
459,Purpose,Justin Bieber,7,43
460,No Pressure,Justin Bieber Featuring Big Sean,4,49
461,Company,Justin Bieber,12,53
462,No Sense,Justin Bieber Featuring Travi$ Scott,3,54
463,Life Is Worth Living,Justin Bieber,2,67
464,Children,Justin Bieber,0,74
465,Been You,Justin Bieber,0,81
466,If I Could Fly,One Direction,0,83
467,Olivia,One Direction,0,87
468,We Are,Justin Bieber Featuring Nas,0,88
469,Get Used To It,Justin Bieber,0,90
