title,ratingDescription average,release year average,user rating score average,user rating size average
Sense8,110.0,2017.0,81.0,80.0
"Sex, Love and Therapy",124.0,2014.0,,82.0
Shameless (U.S.),110.0,2016.0,97.0,80.0
Sherlock,90.0,2016.0,95.0,80.0
Sid the Science Kid,10.0,2008.0,,82.0
Sid the Science Kid: The Movie,10.0,2012.0,,82.0
Skin Wars,90.0,2016.0,69.0,80.0
Skins,110.0,2015.0,,82.0
Skylanders Academy,41.0,2016.0,,82.0
Slam,110.0,2017.0,,82.0
Slugterra: Slug Fu Showdown,42.0,2015.0,,82.0
Sofia the First,10.0,2015.0,82.0,80.0
Some Assembly Required,35.0,2015.0,,82.0
Spy Kids 3: Game Over,60.0,2003.0,64.0,80.0
Star Wars: The Clone Wars,63.333333333333336,2010.0,69.0,80.0
StarStruck,35.0,2010.0,,82.0
Step Dogs,70.0,2013.0,,82.0
Step Up,80.0,2006.0,64.0,80.0
Stranger Things,90.0,2016.0,90.0,80.0
Stronger Than the World,124.0,2016.0,,82.0
Super Buddies,35.0,2013.0,,82.0
Super Why!,10.0,2015.0,68.0,80.0
Supernatural,90.0,2016.0,95.0,80.0
Switched at Birth,90.0,2015.0,83.0,80.0
Tad: The Lost Explorer,70.0,2012.0,,82.0
Talking Tom and Friends,35.0,2016.0,61.0,80.0
Tarzan,35.0,1999.0,95.0,80.0
Tarzan & Jane,35.0,2002.0,,82.0
Tayo the Little Bus,10.0,2014.0,,82.0
Teenage Mutant Ninja Turtles,60.0,2007.0,,82.0
That '70s Show,90.0,2005.0,89.0,80.0
The 100,124.0,2016.0,97.0,80.0
The Adventures of Chuck & Friends,10.0,2011.0,,82.0
The Adventures of Figaro Pho,41.0,2015.0,,82.0
The Adventures of Puss in Boots,42.0,2016.0,78.0,80.0
The Angriest Man in Brooklyn,100.0,2014.0,,82.0
The Angry Birds Movie,60.0,2016.0,92.0,80.0
The BFG,60.0,2016.0,97.0,80.0
The Batman,41.0,2007.0,77.0,80.0
The Benchwarmers,80.0,2006.0,77.0,80.0
The Blacklist,90.0,2016.0,96.0,80.0
The Boxcar Children,35.0,2014.0,,82.0
The Brave Little Toaster Goes to Mars,35.0,1998.0,,82.0
The Brave Little Toaster to the Rescue,35.0,1997.0,,82.0
The Brothers,100.0,2001.0,,82.0
The Carmichael Show,90.0,2016.0,69.0,80.0
The Carrie Diaries,90.0,2013.0,,82.0
The Cat in the Hat Knows a Lot About That!,10.0,2014.0,,82.0
The Cleveland Show,90.0,2012.0,88.0,80.0
The Client List,90.0,2013.0,92.0,80.0
The Crown,110.0,2016.0,84.0,80.0
The Deep,41.0,2015.0,,82.0
The Discovery,110.0,2017.0,,82.0
The Do-Over,110.0,2016.0,84.0,80.0
The Doctor Blake Mysteries,110.0,2016.0,57.0,80.0
The Emperor's New Groove,35.0,2000.0,95.0,80.0
The Fall,110.0,2016.0,61.0,80.0
The Flash,70.0,2016.0,98.0,80.0
The Following,90.0,2015.0,,82.0
The Fosters,90.0,2016.0,73.0,80.0
The Fox and the Hound 2,35.0,2006.0,,82.0
The Furchester Hotel,10.0,2015.0,,82.0
The Get Down,110.0,2017.0,80.0,80.0
The Girl in the Book,110.0,2015.0,,82.0
The Great British Baking Show,70.0,2016.0,94.0,80.0
The Great Gilly Hopkins,60.0,2016.0,69.0,80.0
The Gruffalo,10.0,2009.0,,82.0
The Hero of Color City,35.0,2014.0,,82.0
The Honorable Woman,110.0,2014.0,,82.0
The Hunter,100.0,2011.0,,82.0
The Iron Giant,60.0,1999.0,83.0,80.0
The Jungle Book,60.0,2016.0,97.0,80.0
The Killing,90.0,2014.0,73.0,80.0
The L Word,110.0,2009.0,,82.0
The Land Before Time XIV: Journey of the Brave,35.0,2016.0,,82.0
The Last Unicorn,35.0,1982.0,,82.0
The Life Aquatic with Steve Zissou,100.0,2004.0,,82.0
The Little Engine That Could,35.0,2011.0,,82.0
The Little Prince,60.0,2015.0,71.0,80.0
The Little Rascals,60.0,1994.0,86.0,80.0
The Lizzie McGuire Movie,60.0,2003.0,,82.0
The Magic School Bus,10.0,1997.0,81.0,80.0
The Magicians,110.0,2016.0,89.0,80.0
The Matchbreaker,60.0,2016.0,79.0,80.0
The Mr. Peabody and Sherman Show,41.0,2017.0,,82.0
The Night Shift,90.0,2015.0,93.0,80.0
The Nightmare Before Christmas,60.0,1993.0,84.0,80.0
The OA,110.0,2016.0,,82.0
The Office (U.S.),90.0,2012.0,97.0,80.0
The Originals,90.0,2016.0,74.0,80.0
The Pacifier,60.0,2005.0,91.0,80.0
The Pirate Fairy,35.0,2014.0,57.0,80.0
The Prince of Egypt,60.0,1998.0,81.0,80.0
The Real Ghostbusters,41.0,1990.0,65.0,80.0
The Returned,90.0,2015.0,,82.0
The Road to El Dorado,60.0,2000.0,91.0,80.0
The Secret Life of Pets,60.0,2016.0,,81.0
The Secret Life of the American Teenager,90.0,2013.0,81.0,80.0
The Seven Deadly Sins,90.0,2016.0,,82.0
The Smurfs and the Magic Flute,35.0,1976.0,,82.0
The Super Mario Bros. Super Show!,41.0,1989.0,,82.0
The Three Musketeers,35.0,2004.0,,82.0
The Tudors,110.0,2010.0,,82.0
The Vampire Diaries,90.0,2017.0,91.0,80.0
The Very Hungry Caterpillar and Other Stories,10.0,1993.0,,82.0
The Walking Dead,110.0,2015.0,98.0,80.0
The Waterboy,80.0,1998.0,82.0,80.0
The Wedding Party,90.0,2016.0,,82.0
The Wedding Planner,80.0,2001.0,,82.0
The West Wing,90.0,2005.0,79.0,80.0
Thomas & Friends: King of the Railway,35.0,2013.0,,82.0
Thomas & Friends: Thomas & the Runaway Kite,10.0,2010.0,,82.0
Thunder and the House Of Magic,35.0,2013.0,,82.0
Touch,90.0,2012.0,68.0,80.0
Tramps,110.0,2017.0,,82.0
Transformers Prime,42.0,2013.0,,82.0
Transformers Prime Beast Hunters: Predacons Rising,42.0,2013.0,,82.0
Transformers: Rescue Bots,41.0,2016.0,,82.0
Transformers: Robots in Disguise,41.0,2016.0,,82.0
Transporter: The Series,110.0,2014.0,,82.0
Travelers,110.0,2016.0,86.0,80.0
Trollhunters,42.0,2016.0,83.0,80.0
Trouble with the Curve,80.0,2012.0,63.0,80.0
Twilight,80.0,2008.0,89.0,80.0
Unbreakable Kimmy Schmidt,90.0,2016.0,,82.0
Unconditional,80.0,2012.0,,82.0
Underdogs,60.0,2013.0,,82.0
VeggieTales in the House,10.0,2016.0,,82.0
Velvet,90.0,2016.0,,82.0
Voltron: Legendary Defender,42.0,2017.0,,82.0
Walt Disney Animation Studios Short Films Collection,35.0,2015.0,84.0,80.0
We're Back! A Dinosaur's Story,35.0,1993.0,,82.0
Weeds,110.0,2012.0,85.0,80.0
White Chicks,80.0,2004.0,82.0,80.0
White Collar,70.0,2014.0,93.0,80.0
White Girl,124.0,2016.0,,82.0
Wiener Dog Internationals,35.0,2015.0,,82.0
Win It All,110.0,2017.0,,82.0
Winnie the Pooh: Springtime with Roo,35.0,2004.0,,82.0
Witches of East End,90.0,2014.0,,82.0
Word Party,10.0,2016.0,,82.0
Worms,60.0,2013.0,,82.0
Yellowbird,60.0,2014.0,,82.0
Young Justice,70.0,2012.0,71.0,80.0
Zoobabu,10.0,2010.0,,82.0
Zootopia,60.0,2016.0,97.0,80.0
"ÌÒ Pai, ÌÒ - Look at This",110.0,2007.0,,82.0
